,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,AAPL240119C00050000,2023-11-28 20:50:00+00:00,50.0,140.55,144.35,144.65,0.0,0.0,1,16866,1.75390748046875,True,REGULAR,USD
1,AAPL240119C00055000,2023-11-22 20:09:04+00:00,55.0,136.8,139.45,139.65,0.0,0.0,1,3355,1.6748063134765625,True,REGULAR,USD
2,AAPL240119C00060000,2023-12-05 15:46:01+00:00,60.0,134.4,134.45,134.7,0.0,0.0,1,1817,1.5820333398437496,True,REGULAR,USD
3,AAPL240119C00065000,2023-11-21 20:17:31+00:00,65.0,126.31,129.45,129.7,0.0,0.0,40,1875,1.48047134765625,True,REGULAR,USD
4,AAPL240119C00070000,2023-12-07 17:26:49+00:00,70.0,125.25,124.55,124.75,1.6500015,1.3349527,1,2034,1.4277372363281249,True,REGULAR,USD
5,AAPL240119C00075000,2023-12-05 18:17:08+00:00,75.0,118.85,119.6,119.8,0.0,0.0,3,2344,1.3623078759765623,True,REGULAR,USD
6,AAPL240119C00080000,2023-11-29 20:31:28+00:00,80.0,109.6,114.6,114.85,0.0,0.0,2,1370,1.2876012182617185,True,REGULAR,USD
7,AAPL240119C00085000,2023-11-30 20:50:00+00:00,85.0,105.2,109.6,109.85,0.0,0.0,3,879,1.2070352148437498,True,REGULAR,USD
8,AAPL240119C00090000,2023-12-01 19:13:42+00:00,90.0,101.77,104.65,104.9,0.0,0.0,1,1807,1.1494183154296875,True,REGULAR,USD
9,AAPL240119C00095000,2023-12-06 20:54:27+00:00,95.0,97.96,99.75,99.95,0.0,0.0,1,3195,1.1005904345703126,True,REGULAR,USD
10,AAPL240119C00100000,2023-12-07 18:53:47+00:00,100.0,94.85,94.75,94.95,1.1500015,1.2273228,12,6957,1.0302782861328126,True,REGULAR,USD
11,AAPL240119C00105000,2023-12-05 14:32:46+00:00,105.0,88.0,89.75,90.0,0.0,0.0,1,1590,0.9697268652343749,True,REGULAR,USD
12,AAPL240119C00110000,2023-12-07 18:38:04+00:00,110.0,85.18,84.85,85.05,1.9100037,2.2937477,420,3580,0.9238288867187501,True,REGULAR,USD
13,AAPL240119C00115000,2023-12-05 20:08:48+00:00,115.0,79.07,79.8,80.1,0.0,0.0,25,1825,0.8605970971679688,True,REGULAR,USD
14,AAPL240119C00120000,2023-12-07 19:25:46+00:00,120.0,75.25,74.85,75.1,1.25,1.6891892,5,8546,0.8051777294921875,True,REGULAR,USD
15,AAPL240119C00125000,2023-12-06 18:35:06+00:00,125.0,70.18,69.95,70.15,1.4700012,2.1394284,10,8942,0.7612328564453126,True,REGULAR,USD
16,AAPL240119C00130000,2023-12-07 15:44:13+00:00,130.0,65.85,64.95,65.25,1.8499985,2.8906226,16,6020,0.7124052197265626,True,REGULAR,USD
17,AAPL240119C00135000,2023-12-06 18:06:13+00:00,135.0,58.55,60.0,60.3,0.0,0.0,16,7710,0.6640658593750002,True,REGULAR,USD
18,AAPL240119C00140000,2023-12-07 19:35:24+00:00,140.0,55.25,55.05,55.3,1.8499985,3.4644165,37,14119,0.6123085644531252,True,REGULAR,USD
19,AAPL240119C00145000,2023-12-07 15:24:10+00:00,145.0,50.82,50.1,50.35,2.2200012,4.567904,8,12101,0.5649457568359376,True,REGULAR,USD
20,AAPL240119C00150000,2023-12-07 19:19:30+00:00,150.0,45.34,45.15,45.4,1.9000015,4.3738527,5130,32106,0.5178270874023438,True,REGULAR,USD
21,AAPL240119C00155000,2023-12-07 17:16:10+00:00,155.0,40.9,40.3,40.55,1.8500023,4.737522,63,10312,0.49414568359375005,True,REGULAR,USD
22,AAPL240119C00160000,2023-12-07 19:51:32+00:00,160.0,35.5,35.4,35.55,1.8899994,5.6233244,36,22195,0.4401911450195312,True,REGULAR,USD
23,AAPL240119C00165000,2023-12-07 17:09:32+00:00,165.0,30.69,30.45,30.7,2.0200005,7.045694,40,17306,0.39942006835937505,True,REGULAR,USD
24,AAPL240119C00170000,2023-12-07 19:55:26+00:00,170.0,25.65,25.6,25.75,1.8699989,7.863746,11133,52222,0.34888346435546874,True,REGULAR,USD
25,AAPL240119C00175000,2023-12-07 19:58:59+00:00,175.0,20.89,20.75,20.9,1.8400002,9.658794,188,63106,0.30408410766601557,True,REGULAR,USD
26,AAPL240119C00180000,2023-12-07 19:59:45+00:00,180.0,16.13,16.1,16.2,1.5299988,10.479444,507,67650,0.2644116528320312,True,REGULAR,USD
27,AAPL240119C00185000,2023-12-07 19:53:34+00:00,185.0,11.85,11.75,11.8,1.6500006,16.176477,819,54754,0.2322464471435547,True,REGULAR,USD
28,AAPL240119C00190000,2023-12-07 20:10:10+00:00,190.0,7.83,7.8,7.85,1.1799998,17.744358,1620,64874,0.20557435058593748,True,REGULAR,USD
29,AAPL240119C00195000,2023-12-07 20:07:25+00:00,195.0,4.66,4.6,4.65,0.90999985,24.266663,6384,72740,0.1862263995361328,False,REGULAR,USD
30,AAPL240119C00200000,2023-12-07 20:10:42+00:00,200.0,2.37,2.35,2.36,0.49999988,26.73796,9167,91436,0.17170017761230472,False,REGULAR,USD
31,AAPL240119C00205000,2023-12-07 20:07:30+00:00,205.0,1.06,1.03,1.05,0.22999996,27.71084,3960,66180,0.1641929284667969,False,REGULAR,USD
32,AAPL240119C00210000,2023-12-07 20:05:10+00:00,210.0,0.43,0.43,0.44,0.08000001,22.857147,1888,69007,0.16309430664062502,False,REGULAR,USD
33,AAPL240119C00215000,2023-12-07 20:10:31+00:00,215.0,0.19,0.19,0.2,0.030000001,18.750002,822,64362,0.16846534667968754,False,REGULAR,USD
34,AAPL240119C00220000,2023-12-07 19:47:51+00:00,220.0,0.11,0.1,0.11,0.019999996,22.222216,479,58180,0.179695703125,False,REGULAR,USD
35,AAPL240119C00225000,2023-12-07 19:44:02+00:00,225.0,0.07,0.06,0.07,0.010000002,16.66667,105,21300,0.19336744140625,False,REGULAR,USD
36,AAPL240119C00230000,2023-12-07 19:50:28+00:00,230.0,0.04,0.04,0.05,0.0,0.0,112,15679,0.20801573242187496,False,REGULAR,USD
37,AAPL240119C00235000,2023-12-07 19:46:06+00:00,235.0,0.04,0.03,0.04,0.01,33.333336,44,10731,0.22461712890624996,False,REGULAR,USD
38,AAPL240119C00240000,2023-12-06 15:45:04+00:00,240.0,0.03,0.02,0.03,0.0,0.0,5,12414,0.23828886718749998,False,REGULAR,USD
39,AAPL240119C00245000,2023-12-07 19:17:36+00:00,245.0,0.02,0.01,0.02,0.01,100.0,12,8924,0.24805439453125,False,REGULAR,USD
40,AAPL240119C00250000,2023-12-07 17:57:15+00:00,250.0,0.02,0.01,0.02,0.0,0.0,16,16879,0.26563234375,False,REGULAR,USD
41,AAPL240119C00255000,2023-12-05 20:44:11+00:00,255.0,0.02,0.01,0.02,0.0,0.0,5,2288,0.28516339843749994,False,REGULAR,USD
42,AAPL240119C00260000,2023-12-07 17:57:15+00:00,260.0,0.01,0.0,0.01,0.0,0.0,26,10021,0.28516339843749994,False,REGULAR,USD
43,AAPL240119C00265000,2023-11-22 18:41:55+00:00,265.0,0.01,0.0,0.01,0.0,0.0,50,1418,0.3007882421875,False,REGULAR,USD
44,AAPL240119C00270000,2023-11-22 16:44:50+00:00,270.0,0.01,0.0,0.01,0.0,0.0,1,2001,0.31641308593749995,False,REGULAR,USD
45,AAPL240119C00275000,2023-11-21 15:50:44+00:00,275.0,0.01,0.0,0.01,0.0,0.0,50,1979,0.3320379296875,False,REGULAR,USD
46,AAPL240119C00280000,2023-12-05 17:19:16+00:00,280.0,0.01,0.0,0.01,0.0,0.0,2,2057,0.34766277343749996,False,REGULAR,USD
47,AAPL240119C00285000,2023-11-17 15:39:35+00:00,285.0,0.02,0.0,0.01,0.0,0.0,3,890,0.3632876171875,False,REGULAR,USD
