,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,AAPL240119P00050000,2023-11-29 18:31:45+00:00,50.0,0.01,0.0,0.01,0.0,0.0,3,41424,1.1875040625,False,REGULAR,USD
1,AAPL240119P00055000,2023-12-01 16:46:43+00:00,55.0,0.01,0.0,0.01,0.0,0.0,1,7917,1.09375453125,False,REGULAR,USD
2,AAPL240119P00060000,2023-11-15 19:49:13+00:00,60.0,0.01,0.0,0.01,0.0,0.0,1274,10121,1.0312548437500002,False,REGULAR,USD
3,AAPL240119P00065000,2023-12-05 14:56:38+00:00,65.0,0.01,0.0,0.01,0.0,0.0,30,2923,0.9687503125,False,REGULAR,USD
4,AAPL240119P00070000,2023-12-04 14:44:03+00:00,70.0,0.01,0.0,0.01,0.0,0.0,8,6060,0.9062509375,False,REGULAR,USD
5,AAPL240119P00075000,2023-12-04 18:18:42+00:00,75.0,0.01,0.0,0.01,0.0,0.0,20,5400,0.8437515624999999,False,REGULAR,USD
6,AAPL240119P00080000,2023-12-05 14:37:41+00:00,80.0,0.01,0.0,0.01,0.0,0.0,3,12984,0.7812521875,False,REGULAR,USD
7,AAPL240119P00085000,2023-12-06 19:23:07+00:00,85.0,0.01,0.0,0.01,0.0,0.0,3,5601,0.73437765625,False,REGULAR,USD
8,AAPL240119P00090000,2023-12-07 18:49:54+00:00,90.0,0.01,0.01,0.02,0.0,0.0,100,16029,0.7500025,False,REGULAR,USD
9,AAPL240119P00095000,2023-12-05 15:26:38+00:00,95.0,0.01,0.01,0.02,0.0,0.0,691,6897,0.6953155468750001,False,REGULAR,USD
10,AAPL240119P00100000,2023-12-06 18:55:41+00:00,100.0,0.01,0.01,0.02,0.0,0.0,1,19992,0.648441015625,False,REGULAR,USD
11,AAPL240119P00105000,2023-12-06 14:30:06+00:00,105.0,0.01,0.01,0.02,0.0,0.0,2,11058,0.6093789062500001,False,REGULAR,USD
12,AAPL240119P00110000,2023-12-06 16:49:25+00:00,110.0,0.01,0.01,0.02,0.0,0.0,2,30089,0.5625043750000001,False,REGULAR,USD
13,AAPL240119P00115000,2023-12-07 16:28:45+00:00,115.0,0.02,0.02,0.03,-0.01,-33.333336,200,15366,0.5468795312500001,False,REGULAR,USD
14,AAPL240119P00120000,2023-12-07 19:59:57+00:00,120.0,0.03,0.02,0.03,0.0,0.0,64,28955,0.507817421875,False,REGULAR,USD
15,AAPL240119P00125000,2023-12-05 19:55:54+00:00,125.0,0.02,0.03,0.04,-0.01,-33.333336,7,23047,0.49023947265625006,False,REGULAR,USD
16,AAPL240119P00130000,2023-12-07 18:07:25+00:00,130.0,0.04,0.04,0.05,0.01,33.333336,15,27102,0.46094289062500005,False,REGULAR,USD
17,AAPL240119P00135000,2023-12-07 19:31:10+00:00,135.0,0.06,0.05,0.06,0.009999998,19.999996,2,26449,0.43164630859375,False,REGULAR,USD
18,AAPL240119P00140000,2023-12-07 19:31:09+00:00,140.0,0.07,0.06,0.07,0.0,0.0,70,42060,0.39942006835937505,False,REGULAR,USD
19,AAPL240119P00145000,2023-12-07 19:31:10+00:00,145.0,0.09,0.08,0.09,0.0,0.0,76,28819,0.37305314453125,False,REGULAR,USD
20,AAPL240119P00150000,2023-12-07 20:06:29+00:00,150.0,0.12,0.11,0.12,0.009999998,9.090907,5036,47836,0.348639326171875,False,REGULAR,USD
21,AAPL240119P00155000,2023-12-07 19:27:13+00:00,155.0,0.14,0.14,0.15,-0.010000005,-6.66667,851,28496,0.3198310205078124,False,REGULAR,USD
22,AAPL240119P00160000,2023-12-07 20:06:51+00:00,160.0,0.18,0.17,0.18,0.0,0.0,118,40170,0.2890696093749999,False,REGULAR,USD
23,AAPL240119P00165000,2023-12-07 19:26:29+00:00,165.0,0.22,0.22,0.23,-0.019999996,-8.333332,2817,42775,0.260749580078125,False,REGULAR,USD
24,AAPL240119P00170000,2023-12-07 20:07:26+00:00,170.0,0.3,0.3,0.31,-0.03999999,-11.764703,12573,81417,0.23389437988281248,False,REGULAR,USD
